Company,Product,Gross,Issue,Issue Year,Size,Issue Date,Invoice Number,Invoice Amount,Invoice Date,Commissioned Rep
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,April 14,2022,Biz Services Ad - E,4/14/2022 12:00:00 AM,2022-21139,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,April 21,2022,Biz Services Ad - E,4/21/2022 12:00:00 AM,2022-21152,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,295.0000,April 28,2022,Biz Services Ad - E,4/28/2022 12:00:00 AM,2022-21165,295.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,April 7,2022,Biz Services Ad - E,4/7/2022 12:00:00 AM,2022-21181,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,295.0000,February 17,2022,Biz Services Ad - E,2/17/2022 12:00:00 AM,2022-21254,295.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,February 24,2022,Biz Services Ad - E,2/24/2022 12:00:00 AM,2022-21263,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,June 2,2022,Biz Services Ad - E,6/2/2022 12:00:00 AM,2022-21340,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,March 3,2022,Biz Services Ad - E,3/3/2022 12:00:00 AM,2022-21389,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,March 10,2022,Biz Services Ad - E,3/10/2022 12:00:00 AM,2022-21398,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,March 17,2022,Biz Services Ad - E,3/17/2022 12:00:00 AM,2022-21407,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,295.0000,March 24,2022,Biz Services Ad - E,3/24/2022 12:00:00 AM,2022-21418,295.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,March 31,2022,Biz Services Ad - E,3/31/2022 12:00:00 AM,2022-21428,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,May 12,2022,Biz Services Ad - E,5/12/2022 12:00:00 AM,2022-21435,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,May 19,2022,Biz Services Ad - E,5/19/2022 12:00:00 AM,2022-21446,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,May 26,2022,Biz Services Ad - E,5/26/2022 12:00:00 AM,2022-21455,0.0000,12/31/2022,Christie Coyes
"Citywide Property Maintenance, LLC",The Malibu Times,0.0000,May 5,2022,Biz Services Ad - E,5/5/2022 12:00:00 AM,2022-21466,0.0000,12/31/2022,Christie Coyes
Citywide Yard Sale,Paso Robles Magazine,0.0000,March,2023,Full Page Bleed,3/10/2023 12:00:00 AM,2023-10662,0.0000,03/29/2023,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,Apr,2023,Full Page Bleed,4/1/2023 12:00:00 AM,2023-12829,0.0000,03/29/2023,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,March,2023,Full Page Bleed,3/1/2023 12:00:00 AM,2023-13094,0.0000,03/29/2023,Hayley Mattson
Citywide Yard Sale,Central Coast Journal,0.0000,Apr,2023,Full Page Bleed,4/1/2023 12:00:00 AM,2023-13736,0.0000,03/29/2023,Hayley Mattson
Citywide Yard Sale,Central Coast Journal,0.0000,Mar,2023,Full Page Bleed,3/1/2023 12:00:00 AM,2023-13817,0.0000,03/29/2023,Hayley Mattson
Citywide Yard Sale,Morro Bay Life,0.0000,April,2023,1/4 Page V,4/1/2023 12:00:00 AM,2023-15125,0.0000,03/29/2023,Hayley Mattson
Citywide Yard Sale,Morro Bay Life,0.0000,March,2023,1/4 Page V,3/10/2023 12:00:00 AM,2023-15204,0.0000,03/29/2023,Hayley Mattson
Citywide Yard Sale,Atascadero News,0.0000,May 12,2022,Sky Box,5/12/2022 12:00:00 AM,2022-16659,0.0000,12/31/2022,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,June,2022,Full Page,5/1/2022 12:00:00 AM,2022-22626,0.0000,12/31/2022,Hayley Mattson
Citywide Yard Sale,Central Coast Journal,0.0000,June,2022,Full Page,5/1/2022 12:00:00 AM,2022-22652,0.0000,12/31/2022,Hayley Mattson
Citywide Yard Sale,Atascadero News,0.0000,April 21,2022,1/12 S,4/21/2022 12:00:00 AM,2022-25826,0.0000,12/31/2022,Hayley Mattson
Citywide Yard Sale,Atascadero News,0.0000,April 28,2022,1/12 S,4/28/2022 12:00:00 AM,2022-25830,0.0000,12/31/2022,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,March,2024,Full Page,3/1/2024 12:00:00 AM,2024-40444,0.0000,02/20/2024,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,April,2024,Full Page,4/1/2024 12:00:00 AM,2024-40445,0.0000,03/01/2024,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,March,2025,Full Page,3/1/2025 12:00:00 AM,2025-53734,0.0000,03/03/2025,Hayley Mattson
Citywide Yard Sale,Central Coast Living,0.0000,Jan/Feb,2025,Full Page,1/15/2025 12:00:00 AM,2025-54068,0.0000,04/01/2025,Hayley Mattson
Citywide Yard Sale,Atascadero News,0.0000,Apr 3,2025,4x10,4/3/2025 12:00:00 AM,2025-54731,0.0000,04/09/2025,Hayley Mattson
Citywide Yard Sale,Paso Robles Press,0.0000,Apr 3,2025,4x10,4/3/2025 12:00:00 AM,2025-54732,0.0000,04/09/2025,Hayley Mattson
Citywide Yard Sale,Atascadero News,0.0000,Apr 24,2025,Skybox,4/24/2025 12:00:00 AM,2025-55055,0.0000,04/21/2025,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,March,2026,Full Page,3/1/2026 12:00:00 AM,2026-61564,0.0000,02/20/2026,Hayley Mattson
Citywide Yard Sale,Atascadero News,0.0000,Apr 9,2026,4x10,4/9/2026 12:00:00 AM,2026-61565,0.0000,03/07/2026,Hayley Mattson
Citywide Yard Sale,Paso Robles Press,0.0000,Apr 9,2026,4x10,4/9/2026 12:00:00 AM,2026-61566,0.0000,03/07/2026,Hayley Mattson
Citywide Yard Sale,Atascadero News,0.0000,Apr 16,2026,Front Page Strip,4/16/2026 12:00:00 AM,2026-61567,0.0000,03/07/2026,Hayley Mattson
Citywide Yard Sale,Atascadero News Magazine,0.0000,April,2026,Full Page,4/1/2026 12:00:00 AM,2026-62039,0.0000,03/20/2026,Hayley Mattson
"Clare Malone Prichard, Realtor",Central Coast Living,559.0000,Jul/Aug,2024,1/4 Page,7/15/2024 12:00:00 AM,2024-45711,559.0000,06/27/2024,Ellie Baisch
"Clare Malone Prichard, Realtor",Central Coast Living,559.0000,Sep/Oct,2024,1/4 Page,9/15/2024 12:00:00 AM,2024-45712,559.0000,08/29/2024,Nicholas Mattson
"Clare Malone Prichard, Realtor",Central Coast Living,559.0000,Nov/Dec,2024,1/4 Page,11/15/2024 12:00:00 AM,2024-45713,559.0000,10/30/2024,Nicholas Mattson
"Clare Malone Prichard, Realtor",Central Coast Living,559.0000,Jan/Feb,2025,1/4 Page,1/15/2025 12:00:00 AM,2024-45714,559.0000,12/11/2024,Nicholas Mattson
"Clare Malone Prichard, Realtor",Central Coast Living,559.0000,Autumn_ Health,2025,1/4 Page,3/15/2025 12:00:00 AM,2025-45715,559.0000,02/19/2025,Nicholas Mattson
"Clare Malone Prichard, Realtor",Central Coast Living,559.0000,Holiday_ Home,2025,1/4 Page,5/15/2025 12:00:00 AM,2025-45716,559.0000,05/07/2025,Nicholas Mattson
Clark's Oyster Bar,The Malibu Times,3217.0000,Nov 6,2025,Full Page,11/6/2025 12:00:00 AM,2025-58228,3217.0000,10/30/2025,Anthony McDemas
Clark's Oyster Bar,The Malibu Times,3217.0000,Nov 20,2025,Full Page,11/20/2025 12:00:00 AM,2025-58229,3217.0000,10/30/2025,Anthony McDemas
Clark's Oyster Bar,The Malibu Times,3217.0000,Dec 11,2025,Full Page,12/11/2025 12:00:00 AM,2025-58230,3217.0000,12/02/2025,Anthony McDemas
Clark's Oyster Bar,The Malibu Times,3217.0000,Jan 8,2026,Full Page,1/8/2026 12:00:00 AM,2025-58231,3217.0000,12/31/2025,Anthony McDemas
Class Act Dance & Performing Arts Studio,Atascadero News,359.1000,Nov 21,2024,1/4 Page V,11/21/2024 12:00:00 AM,2024-48875,359.1000,11/15/2024,Dana McGraw
Class Act Dance & Performing Arts Studio,Paso Robles Press,359.1000,Nov 21,2024,1/4 Page V,11/21/2024 12:00:00 AM,2024-48876,359.1000,11/15/2024,Dana McGraw
Class Act Dance & Performing Arts Studio,Paso Robles Press,239.4000,Mar 6,2025,1/4 Page V,3/6/2025 12:00:00 AM,2025-53728,239.4000,02/27/2025,Dana McGraw
Class Act Dance & Performing Arts Studio,Paso Robles Press,75.0000,Aug 7,2025,Fictitious Business Name - New Filing,8/7/2025 12:00:00 AM,2025-56822,75.0000,07/28/2025,Cami Martin
Class Act Musical Theatre,Calabasas Style Magazine,475.0000,Mar/Apr,2023,Quarter Page,3/1/2023 12:00:00 AM,2023-13537,475.0000,03/29/2023,Linda Perry
Class Act Musical Theatre,Calabasas Style Magazine,0.0000,Mar/Apr,2023,Half Page Horizontal,3/1/2023 12:00:00 AM,2023-13538,0.0000,03/29/2023,Linda Perry
